lon,lat
75.221337,30.822671
75.221354,30.820923
75.221364,30.820234
75.221372,30.820199
75.221400,30.820174
75.221452,30.820161
75.222088,30.820159
75.222203,30.820145
75.222296,30.820122
75.222392,30.820076
75.222467,30.820026
75.222539,30.819969
75.222611,30.819896
75.222671,30.819796
75.222715,30.819715
75.222745,30.819622
75.222758,30.819505
75.222743,30.819263
75.222714,30.819205
75.222705,30.819166
75.222703,30.819121
75.222699,30.818841
75.222694,30.818502
75.222686,30.818082
75.220956,30.818278
75.219919,30.818385
75.219355,30.818435
75.218886,30.818486
75.218802,30.818627
75.218727,30.818782
75.218362,30.819477
75.218078,30.820016
75.217639,30.820822
75.217309,30.821426
75.217112,30.821787
75.216379,30.823054
75.216219,30.823331
75.215363,30.824903
75.215240,30.825129
75.214639,30.826196
75.214537,30.826377
75.214414,30.826595
75.214327,30.826751
75.213969,30.827382
75.213595,30.828078
75.213534,30.828191
75.212786,30.829584
75.211831,30.831268
75.211550,30.831827
75.211385,30.832156
75.210951,30.833020
75.210071,30.834563
75.209401,30.835772
75.209245,30.836081
75.208669,30.837117
75.207910,30.838497
75.207877,30.838554
75.207550,30.839126
75.207140,30.839773
75.207029,30.839950
75.206914,30.840130
75.206520,30.840641
75.205560,30.841884
75.204987,30.842645
75.204765,30.842940
75.204814,30.843246
75.204836,30.843517
75.204890,30.843935
75.204814,30.843966
75.204885,30.844279
75.204901,30.844341
75.204983,30.844573
75.204954,30.844602
75.204595,30.844933
75.204708,30.845159
75.204734,30.845192
75.204762,30.845226
75.204947,30.845396
75.204972,30.845423
75.204991,30.845453
75.204999,30.845482
75.205040,30.845658
75.205040,30.845680
75.205033,30.845692
75.205020,30.845701
75.205073,30.845714
75.205256,30.845740
75.205335,30.845752
75.205351,30.845755
75.205403,30.845765
75.205485,30.845786
75.205538,30.845804
75.205651,30.845857
75.205829,30.845943
75.205864,30.845954
75.205910,30.845961
75.206141,30.845974
75.206168,30.845971
75.206199,30.845966
75.206236,30.845954
75.206434,30.846158
75.206521,30.846248
75.206565,30.846306
75.206682,30.846527
75.206709,30.846529
75.206757,30.846528
75.206818,30.846519
75.207019,30.846463
75.207029,30.847951
75.207032,30.848327
75.207036,30.849183
75.207036,30.849195
75.207031,30.849544
75.207024,30.850052
75.207027,30.851909
75.207026,30.853131
75.207024,30.853504
75.207020,30.854131
75.207028,30.855427
75.207028,30.855448
75.207024,30.856793
75.207013,30.858479
75.207014,30.859340
75.207026,30.860076
75.207025,30.860097
75.207025,30.862040
75.207022,30.863894
75.207020,30.865057
75.207018,30.866449
75.207017,30.867152
75.207017,30.869891
75.207015,30.871008
75.207005,30.871071
75.206996,30.871104
75.206982,30.871133
75.206940,30.871197
75.206643,30.871642
75.206587,30.871716
75.206540,30.871783
75.206666,30.871979
75.206782,30.872202
75.206877,30.872405
75.206940,30.872564
75.206990,30.872688
75.207094,30.873008
75.207220,30.873323
75.207328,30.873544
75.207470,30.873816
75.207628,30.874062
75.207735,30.874222
75.207756,30.874253
75.208004,30.874622
75.208229,30.874962
75.208368,30.875211
75.208465,30.875446
75.208510,30.875590
75.208553,30.875727
75.208623,30.876104
75.208693,30.876470
75.208749,30.876767
75.208819,30.877018
75.208889,30.877221
75.208991,30.877435
75.209125,30.877635
75.209323,30.877925
75.209613,30.878323
75.209902,30.878714
75.210029,30.878929
75.210249,30.879352
75.210581,30.880097
75.210640,30.880229
75.210969,30.880896
75.211142,30.881247
75.211185,30.881354
75.211313,30.881668
